Title,Release Date,Rating,Plot
12 Homens e uma Sentença,1957,9.0/10,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
O Poderoso Chefão: Parte II,1974,9.0/10,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
O Resgate do Soldado Ryan,1998,8.6/10,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
O Silêncio dos Inocentes,1991,8.6/10,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
O Senhor dos Anéis: O Retorno do Rei,2003,9.0/10,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
Star Wars: Episódio V - O Império Contra-Ataca,1980,8.7/10,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy."
Clube da Luta,1999,8.8/10,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
Batman: O Cavaleiro das Trevas,2008,9.0/10,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness."
A Origem,2010,8.8/10,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the pro...Read all"
Os Sete Samurais,1954,8.6/10,"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him."
Cidade de Deus,2002,8.6/10,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
Pulp Fiction: Tempo de Violência,1994,8.9/10,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Três Homens em Conflito,1966,8.8/10,A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
Os Bons Companheiros,1990,8.7/10,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
Um Sonho de Liberdade,1994,9.3/10,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion."
Matrix,1999,8.7/10,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
A Lista de Schindler,1993,9.0/10,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
Interestelar,2014,8.7/10,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
Um Estranho no Ninho,1975,8.7/10,A newly admitted mental patient helps his docile companions defy the tyrannical head nurse.
Seven - Os Sete Crimes Capitais,1995,8.6/10,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
O Senhor dos Anéis: A Sociedade do Anel,2001,8.9/10,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
O Poderoso Chefão,1972,9.2/10,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
A Felicidade Não se Compra,1946,8.6/10,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
Forrest Gump: O Contador de Histórias,1994,8.8/10,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart."
O Senhor dos Anéis: As Duas Torres,2002,8.8/10,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
